Tools$BooleanHolder,0.004761904761904762,0.0,0.029411764705882353,0.08134633349963777,0.10005533607908482,0.09499649587666206,0.009523809523809525,0.009523809523809525,0.029411764705882353,freemind/freemind/main/Tools.java
ExportSvg,1.7959761904761902,2.6719285714285714,0.007352941176470588,0.08471515151819048,0.10503441167342281,0.0993329479823408,0.001,0.001,0.007352941176470588,freemind/plugins/svg/ExportSvg.java
Tools$DesEncrypter,0.04285714285714286,0.0,0.029411764705882353,0.09462381849192128,0.1201694255383641,0.11221993613767403,0.0761904761904762,0.0761904761904762,0.029411764705882353,freemind/freemind/main/Tools.java
Controller$OptionAntialiasAction,0.0005,1.5290714285714284,0.014705882352941176,0.08134633349963777,0.10005533607908482,0.09499649587666206,0.001,0.001,0.014705882352941176,freemind/freemind/controller/Controller.java
FreeMindMapController$SelectNodeInContextMenu,0.0005,1.1004999999999998,0.014705882352941176,0.07794455096743047,0.09510922499840141,0.0906430108049963,0.001,0.001,0.014705882352941176,freemind/plugins/map/FreeMindMapController.java
NodeHookAction,1.9907142857142852,0.014285714285714285,0.0661764705882353,0.09135389401433225,0.11509145640306243,0.10794668514942483,0.02857142857142857,0.02857142857142857,0.0661764705882353,freemind/freemind/modes/mindmapmode/actions/NodeHookAction.java
ScriptEditorPanel$CancelAction,1.2288095238095234,1.4501190476190469,0.014705882352941176,0.07794455096743047,0.09510922499840141,0.0906430108049963,0.001,0.001,0.014705882352941176,freemind/plugins/script/ScriptEditorPanel.java
Tools,0.08571428571428572,0.0,0.8676470588235294,0.2981666544097542,0.6332119806032773,0.249412752458264,0.0761904761904762,0.0761904761904762,0.8676470588235294,freemind/freemind/main/Tools.java
RootMainView,0.0005,0.8338333333333332,0.11029411764705882,0.09462381849192128,0.1201694255383641,0.11221993613767403,0.001,0.001,0.11029411764705882,freemind/freemind/view/mindmapview/RootMainView.java
SetLinkByTextFieldAction,1.9907142857142852,0.02857142857142857,0.014705882352941176,0.08134633349963777,0.10005533607908482,0.09499649587666206,0.009523809523809525,0.009523809523809525,0.014705882352941176,freemind/freemind/modes/mindmapmode/actions/SetLinkByTextFieldAction.java
NodeBackgroundColorAction,1.9907142857142852,0.03333333333333333,0.014705882352941176,0.08471515151819048,0.10503441167342281,0.0993329479823408,0.009523809523809525,0.009523809523809525,0.014705882352941176,freemind/freemind/modes/mindmapmode/actions/NodeBackgroundColorAction.java
RevertActor,1.7859523809523805,1.4501190476190469,0.058823529411764705,0.09135389401433225,0.11509145640306243,0.10794668514942483,0.001,0.001,0.058823529411764705,freemind/freemind/modes/mindmapmode/actions/xml/actors/RevertActor.java
HtmlTools,0.12857142857142856,0.0,0.19852941176470587,0.17279811132066225,0.2757361538705627,0.2143096605588548,0.08571428571428572,0.08571428571428572,0.19852941176470587,freemind/freemind/main/HtmlTools.java
CloudColorActor,1.7859523809523805,1.4506190476190468,0.03676470588235294,0.08471515151819048,0.10503441167342281,0.0993329479823408,0.001,0.001,0.03676470588235294,freemind/freemind/modes/mindmapmode/actions/xml/actors/CloudColorActor.java
MindMapController$ImportBranchAction,0.0005,1.857642857142857,0.014705882352941176,0.08134633349963777,0.10005533607908482,0.09499649587666206,0.001,0.001,0.014705882352941176,freemind/freemind/modes/mindmapmode/MindMapController.java
EncryptNode,1.2288095238095234,0.0005,0.051470588235294115,0.10737387126573181,0.14081094721611637,0.12904175860189687,0.001,0.001,0.051470588235294115,freemind/accessories/plugins/EncryptNode.java
MapModuleManager$MapModuleChangeObserverCompound,0.005261904761904763,1.5290714285714284,0.051470588235294115,0.08471515151819048,0.10503441167342281,0.0993329479823408,0.009523809523809525,0.009523809523809525,0.051470588235294115,freemind/freemind/controller/MapModuleManager.java
CloudAdapter$CloudAdapterListener,0.0005,0.02857142857142857,0.007352941176470588,0.07794455096743047,0.09510922499840141,0.0906430108049963,0.001,0.001,0.007352941176470588,freemind/freemind/modes/CloudAdapter.java
FilterComposerDialog,1.4097619047619043,1.587714285714285,0.08823529411764706,0.17279811132066225,0.2757361538705627,0.2143096605588548,0.2761904761904762,0.2761904761904762,0.08823529411764706,freemind/freemind/controller/filter/FilterComposerDialog.java
MenuBar$LastOpenedActionListener,0.014785714285714287,1.5290714285714284,0.014705882352941176,0.08134633349963777,0.10005533607908482,0.09499649587666206,0.009523809523809525,0.009523809523809525,0.014705882352941176,freemind/freemind/controller/MenuBar.java
FileMode,1.9716666666666662,2.6719285714285714,0.0661764705882353,0.08471515151819048,0.10503441167342281,0.0993329479823408,0.047619047619047616,0.047619047619047616,0.0661764705882353,freemind/freemind/modes/filemode/FileMode.java
EditNodeBase$1KeyEventQueue,0.16716666666666666,0.8338333333333332,0.022058823529411766,0.08134633349963777,0.10005533607908482,0.09499649587666206,0.009523809523809525,0.009523809523809525,0.022058823529411766,freemind/freemind/view/mindmapview/EditNodeBase.java
FileController$CenterAction,1.99547619047619,2.6719285714285714,0.014705882352941176,0.08134633349963777,0.10005533607908482,0.09499649587666206,0.001,0.001,0.014705882352941176,freemind/freemind/modes/filemode/FileController.java
JDayChooser,0.15714285714285714,0.48145238095238096,0.4338235294117647,0.19243697106355878,0.3312283366436825,0.2356684201838627,0.3142857142857143,0.3142857142857143,0.4338235294117647,freemind/accessories/plugins/time/JDayChooser.java
CommonMouseMotionManager,1.7716666666666663,2.6719285714285714,0.029411764705882353,0.08471515151819048,0.10503441167342281,0.0993329479823408,0.02857142857142857,0.02857142857142857,0.029411764705882353,freemind/freemind/modes/common/listeners/CommonMouseMotionManager.java
