ParameterDeclaration,0.8742902367566946,0.4370159998679062,0.012077294685990338,0.24926686217008798,0.24926686217008798,0.25317693059628543
ClassifierNotFoundException,0.8654708198844115,0.44502418968677243,0.007246376811594203,0.25024437927663734,0.25024437927663734,0.25024437927663734
Context,0.8429813068600897,0.4444462790812873,0.021739130434782608,0.2482893450635386,0.2482893450635386,0.2570869990224829
Modeller,0.8333901910114817,0.41274375443752787,0.18840579710144928,0.19257086999022482,0.19257086999022482,0.42130987292277616
ParseState,0.849595869514302,0.4347869161038918,0.057971014492753624,0.2434017595307918,0.2434017595307918,0.270772238514174
ParseStateException,0.8761643628420549,0.44172184336971415,0.007246376811594203,0.25024437927663734,0.25024437927663734,0.25024437927663734
JavaImport,0.8742902367566946,0.43065898320756896,0.036231884057971016,0.24437927663734116,0.24437927663734116,0.26881720430107525
PackageContext,0.8646991209080869,0.4394927596056999,0.012077294685990338,0.24731182795698925,0.24731182795698925,0.2590420332355816
JavaParseException,0.8720853825386239,0.44172184336971415,0.007246376811594203,0.25024437927663734,0.25024437927663734,0.25024437927663734
ClassifierContext,0.8613918395809806,0.44502418968677243,0.007246376811594203,0.24926686217008798,0.24926686217008798,0.25317693059628543
JavaImportSettings,0.8267756283572694,0.4372636758416855,0.021739130434782608,0.24731182795698925,0.24731182795698925,0.2590420332355816
OuterClassifierContext,0.8646991209080869,0.4314845697868335,0.014492753623188406,0.2482893450635386,0.2482893450635386,0.2561094819159335
UnsupportedJavaFeatureException,0.8720853825386239,0.4447765137129931,0.007246376811594203,0.25024437927663734,0.25024437927663734,0.25024437927663734
AssociationEndNameNotationJava,0.7210234337969644,0.6911480606971253,0.01932367149758454,0.24926686217008798,0.24926686217008798,0.2541544477028348
OperationNotationJava,0.7210234337969644,0.6946155243300365,0.026570048309178744,0.24633431085043989,0.24633431085043989,0.2619745845552297
AssociationNameNotationJava,0.7233385307259388,0.6911480606971253,0.01932367149758454,0.24926686217008798,0.24926686217008798,0.2541544477028348
NotationUtilityJava,0.7256536276549131,0.692881792513581,0.033816425120772944,0.24535679374389052,0.24535679374389052,0.26392961876832843
ModelElementNameNotationJava,0.7256536276549131,0.6911480606971253,0.021739130434782608,0.24535679374389052,0.24535679374389052,0.26588465298142716
AttributeNotationJava,0.7210234337969644,0.692881792513581,0.01932367149758454,0.2482893450635386,0.2482893450635386,0.25513196480938416
InitNotationJava,0.7233385307259388,0.692881792513581,0.01932367149758454,0.24926686217008798,0.24926686217008798,0.25317693059628543
Notation,0.7484904052185812,0.7024792364975315,0.021739130434782608,0.24731182795698925,0.24731182795698925,0.25806451612903225
SDNotationSettings,0.7410986314524989,0.6854721529646813,0.004830917874396135,0.25024437927663734,0.25024437927663734,0.2512218963831867
NotationSettings,0.7759353280980172,0.6392393045258656,0.06521739130434782,0.23851417399804498,0.23851417399804498,0.2844574780058651
NotationName,0.7361377094618397,0.6854721529646813,0.014492753623188406,0.2482893450635386,0.2482893450635386,0.25513196480938416
NotationNameImpl,0.7405474178979813,0.6677220415104932,0.04589371980676329,0.24535679374389052,0.24535679374389052,0.2649071358748778
NotationProvider,0.7383425636799105,0.6763907005927712,0.043478260869565216,0.24437927663734116,0.24437927663734116,0.26881720430107525
NotationProviderFactory2,0.7202627590917301,0.6408904776843948,0.01932367149758454,0.24633431085043989,0.24633431085043989,0.26295210166177907
InitNotation,0.7361377094618397,0.6817570133579909,0.00966183574879227,0.25024437927663734,0.25024437927663734,0.2512218963831867
NotationRenderer,0.7410986314524989,0.6817570133579909,0.004830917874396135,0.24926686217008798,0.24926686217008798,0.25317693059628543
ProgressEvent,0.9363935938181178,0.6209112824661923,0.007246376811594203,0.24926686217008798,0.24926686217008798,0.25219941348973607
ProgressListener,0.9411340303869701,0.6192601093076632,0.0,0.25024437927663734,0.25024437927663734,0.2512218963831867
ProgressMonitor,0.9411340303869701,0.6211589584399716,0.016908212560386472,0.2482893450635386,0.2482893450635386,0.25513196480938416
LanguageComboBox,0.93396825417824,0.8981267440516487,0.014492753623188406,0.24926686217008798,0.24926686217008798,0.2541544477028348
ActionNewUseCase,0.9385984480361886,0.7016041147235111,0.0024154589371980675,0.24926686217008798,0.24926686217008798,0.25219941348973607
ActionNewExtensionPoint,0.9362833511072143,0.7033378465399666,0.004830917874396135,0.25024437927663734,0.25024437927663734,0.2512218963831867
ActionAddExtendExtensionPoint,0.93396825417824,0.7016041147235111,0.014492753623188406,0.24926686217008798,0.24926686217008798,0.25317693059628543
ActionNewActor,0.9362833511072143,0.7016041147235111,0.0024154589371980675,0.25024437927663734,0.25024437927663734,0.2512218963831867
ActionNewExtendExtensionPoint,0.93396825417824,0.7033378465399666,0.004830917874396135,0.25024437927663734,0.25024437927663734,0.2512218963831867
UMLExtensionPointLocationDocument,0.93396825417824,0.7050715783564222,0.004830917874396135,0.25024437927663734,0.25024437927663734,0.2512218963831867
ActionNewUseCaseExtensionPoint,0.9385984480361886,0.7033378465399666,0.004830917874396135,0.25024437927663734,0.25024437927663734,0.2512218963831867
TableModelCodeCreators,0.9211378767551535,0.05985915492957746,0.014492753623188406,0.24926686217008798,0.24926686217008798,0.25219941348973607
GUI,0.653490623223542,0.24903406370226044,0.014492753623188406,0.2482893450635386,0.2482893450635386,0.25513196480938416
FindDialog,0.814334738431805,0.16543516668593033,0.04589371980676329,0.2375366568914956,0.2375366568914956,0.28934506353861195
SettingsDialog,0.8876681897248391,0.11367088816604197,0.033816425120772944,0.24731182795698925,0.24731182795698925,0.2590420332355816
StylePanelFig,0.8121298842137343,0.19943282202004525,0.06280193236714976,0.23558162267839688,0.23558162267839688,0.29521016617790813
